date,gdpc1,gdppot,nrou
2010-04-01,16743.162,17339.540497443468,5.03173801268021
2010-07-01,16872.266,17398.249750812174,5.02571578715021
2010-10-01,16960.864,17459.66794812841,5.01862387782517
2011-01-01,16920.632,17523.89847705864,5.01042255345427
2011-04-01,17035.114,17590.062292255396,5.0010839047711295
2011-07-01,17031.313,17658.131908785388,4.99059268251338
2011-10-01,17222.583,17728.78704705593,4.978946943232169
2012-01-01,17367.01,17802.124606222213,4.96615848641526
2012-04-01,17444.525,17877.513501192763,4.95225307037503
2012-07-01,17469.65,17954.159751564275,4.93727039857332
2012-10-01,17489.852,18032.271410975576,4.9212638724813695
2013-01-01,17662.4,18112.7611931849,4.90430011161269
2013-04-01,17709.671,18194.45250151435,4.8864582459249695
2013-07-01,17860.45,18277.07369505764,4.8678289902689
2013-10-01,18016.147,18361.59769901994,4.848513514873249
2014-01-01,17953.974,18448.099375489783,4.828622129906529
2014-04-01,18185.911,18535.90341771736,4.80827280586174
2014-07-01,18406.941,18626.02876593418,4.78758955479478
2014-10-01,18500.031,18717.995872623233,4.76670070024014
2015-01-01,18666.621,18811.82035076692,4.74573706587286
2015-04-01,18782.243,18906.9696114969,4.72483011463568
2015-07-01,18857.418,19003.03419833049,4.704110071072569
2015-10-01,18892.206,19100.137722133142,4.6837040599828095
2016-01-01,19001.69,19198.252665637407,4.66373429422766
2016-04-01,19062.709,19296.5000603964,4.64431634359108
2016-07-01,19197.938,19394.1890093846,4.62555751503731
2016-10-01,19304.352,19491.389084717703,4.60755537255564
2017-01-01,19398.343,19588.63066489704,4.59039642208179
2017-04-01,19506.949,19685.87294333235,4.57415498379363
2017-07-01,19660.766,19783.817242750043,4.55889227046308
2017-10-01,19882.352,19882.732970228422,4.54465568658274
2018-01-01,20044.077,19983.308058389975,4.53147835875611
2018-04-01,20150.476,20085.821330941748,4.51937890343318
2018-07-01,20276.154,20189.23681263725,4.50836143357856
2018-10-01,20304.874,20294.35408829067,4.49841580136913
2019-01-01,20431.641,20401.78250699429,4.4895180696244
2019-04-01,20602.275,20509.70778828462,4.48163120046239
2019-07-01,20843.322,20617.67497935195,4.47470594573225
2019-10-01,20985.448,20722.820278145697,4.46868192017881
2020-01-01,20709.212,20825.889773887968,4.46348883511343
2020-04-01,19077.992,20925.85598035592,4.45904786766102
2020-07-01,20558.879,21020.539012470566,4.45527313847375
2020-10-01,20791.917,21116.617057074087,4.4520732691872
2021-01-01,21082.134,21216.864736890268,4.452852989869879
2021-04-01,21440.929,21322.28909851852,4.44978976629628
2021-07-01,21617.828,21435.3063204534,4.447010417057349
2021-10-01,21988.737,21554.021083750165,4.44441769129896
2022-01-01,21932.71,21678.7235669542,4.441916779223741
2022-04-01,21967.045,21808.97535370521,4.4404667293697795
2022-07-01,22125.625,21944.708620985697,4.4389317490436095
2022-10-01,22278.345,22084.80256835857,4.43723236707892
2023-01-01,22439.607,22229.48219394711,4.43529644125222
2023-04-01,22580.499,22377.8679500468,4.43350999614073
2023-07-01,22840.989,22527.57093135215,4.4313678808796295
2023-10-01,23033.78,22678.156520144265,4.42882424008579
2024-01-01,23082.119,22828.94541097934,4.42567965718569
2024-04-01,23286.508,22979.033391074587,4.42215707526542
2024-07-01,23478.57,23126.8961060226,4.418184956226237
2024-10-01,23586.542,23271.54168652911,4.413737266101202
2025-01-01,23548.21,23414.6564204,4.40904868088454
2025-04-01,23770.976,23548.5176618,4.40690622022857
2025-07-01,24026.834,23680.1524766,4.40419970826884
2025-10-01,24065.956,23811.2238968,4.40184121264107
2026-01-01,,23945.1378387,4.399090564203689
2026-04-01,,24070.9386484,4.39593247642493
2026-07-01,,24200.4446936,4.39237196512007
2026-10-01,,24330.3745288,4.38842541458118
2027-01-01,,24460.7088379,4.38411542659685
2027-04-01,,24590.8109409,4.37946917187614
2027-07-01,,24720.7004814,4.37449561042923
2027-10-01,,24850.1525561,4.36920013450107
2028-01-01,,24979.4598254,4.36360199819928
2028-04-01,,25109.0520493,4.3577544546865
2028-07-01,,25238.6873312,4.35167462742477
2028-10-01,,25367.6250348,4.345370175274289
2029-01-01,,25495.4826244,4.33886766408123
2029-04-01,,25622.3677936,4.3322425547427
2029-07-01,,25750.3919924,4.32551507257566
2029-10-01,,25880.7178538,4.31868788792528
2030-01-01,,26011.5668581,4.31178425098474
2030-04-01,,26141.448482,4.30488654589538
2030-07-01,,26271.3371739,4.2982624005787
2030-10-01,,26400.8524041,4.29184592443572
2031-01-01,,26530.5190826,4.285665306740009
2031-04-01,,26659.7208862,4.27972946305059
2031-07-01,,26787.6352069,4.274041360943049
2031-10-01,,26915.0944615,4.26854561767537
2032-01-01,,27042.1667846,4.26319846895158
2032-04-01,,27168.7045099,4.25801026226064
2032-07-01,,27294.9139092,4.25293161471931
2032-10-01,,27421.0567599,4.24789489624584
2033-01-01,,27547.161237,4.24285418614103
2033-04-01,,27673.1486315,4.23782441789617
2033-07-01,,27799.1152368,4.232770586446049
2033-10-01,,27925.0206365,4.22764586287327
2034-01-01,,28051.0065478,4.22242958769924
2034-04-01,,28176.9188612,4.21716562825119
2034-07-01,,28302.8151731,4.21185001241668
2034-10-01,,28428.5407155,4.20646775559397
2035-01-01,,28554.3120604,4.20102988730463
2035-04-01,,28680.2773747,4.19561084087726
2035-07-01,,28806.6301924,4.1902265934124
2035-10-01,,28933.3399909,4.18486826158714
2036-01-01,,29060.4799126,4.1795350832857
2036-04-01,,29187.8952707,4.17426689512611
2036-07-01,,29315.4330726,4.16905982489528
2036-10-01,,29443.0227307,4.16389489162988
